Place Name,Location,Category,Description,Rating,State,latitude,longitude,Entities
Sabarmati Ashram,Ahmedabad,Historical Site,"Former residence of Mahatma Gandhi, showcasing his life and principles of non-violence.",4.5,gujarat,23.0379,72.5634, Mahatma Gandhi
Bhuj,Kutch District,City,"Vibrant city with historical sites, palaces, markets, and a gateway to the Great Rann of Kutch.",4.4,gujarat,23.2531,69.6693, the Great Rann of Kutch
Junagadh,Junagadh District,City,"Ancient city known for its historical monuments, including the Uparkot Fort and Girnar Hill.",4.3,gujarat,21.5222,70.4579, the Uparkot Fort Girnar Hill
Saputara,Dang District,Hill Station,"Picturesque hill station offering scenic beauty, lakes, gardens, and trekking opportunities.",4.5,gujarat,20.5737,73.7762, Picturesque hill
Patan,Patan District,Historical Site,"Former capital of Gujarat with ancient stepwells, temples, and intricately carved wooden houses.",4.4,gujarat,23.8493,72.1267, Gujarat
Palitana,Bhavnagar District,Religious Site,"Sacred hill of Jain temples, visited by thousands of pilgrims, offering panoramic views from the top.",4.6,gujarat,21.5159,71.8324, Sacred hill Jain thousands
Diu,Diu Island,Beach Destination,"Serene island known for its sandy beaches, historical forts, and Portuguese architecture.",4.5,gujarat,20.7144,70.9874, Portuguese
Gandhinagar,Gandhinagar,City,"Planned city serving as the capital of Gujarat, featuring modern infrastructure and peaceful ambiance.",4.2,gujarat,23.2156,72.6369, Gujarat
Porbandar,Porbandar District,City,"Birthplace of Mahatma Gandhi, known for its historical significance and coastal charm.",4.3,gujarat,21.6417,69.6293, Mahatma Gandhi
Jamnagar,Jamnagar District,City,"Coastal city known for its grand palaces, temples, and the famous Marine National Park.",4.2,gujarat,22.4707,70.0577, Marine National Park
Vadodara,Vadodara,City,"Cultural city known for its palaces, museums, parks, and the grand Laxmi Vilas Palace.",4.4,gujarat,22.3072,73.1812, Laxmi Vilas Palace
Dandi Beach,Navsari District,Beach Destination,Historical beach known for the Salt March led by Mahatma Gandhi during India's freedom struggle.,4.5,gujarat,21.3937,72.8061, the Salt March Mahatma Gandhi India
Chamunda Mata Temple,Surendranagar District,Hindu Temple,"Sacred temple dedicated to Goddess Chamunda, known for its religious significance and architecture.",4.2,gujarat,23.0575,72.6436, Goddess Chamunda
Bardoli,Surat District,City,"Historical town associated with India's freedom struggle, known for its rich cultural heritage.",4.3,gujarat,21.125,73.1119, India
Valsad,Valsad District,City,"Coastal town known for its beautiful beaches, historical temples, and cultural festivals.",4.2,gujarat,20.609,72.9297, Coastal
Porbandar Bird Sanctuary,Porbandar District,Wildlife Sanctuary,"Sanctuary home to a variety of bird species, offering birdwatching and nature exploration.",4.4,gujarat,21.637,69.6177, Sanctuary
Ambaji Temple,Banaskantha District,Hindu Temple,"Famous temple dedicated to Goddess Amba, visited by devotees for its religious significance.",4.5,gujarat,24.3345,72.9539, Goddess Amba
Pavagadh Hill,Panchmahal District,Pilgrimage Site,Hill known for its religious significance and the ancient Kalika Mata Temple situated atop.,4.4,gujarat,22.4691,73.492, Hill Kalika Mata Temple
Kalo Dungar,Kutch District,Hill Station,Highest point in Kutch offering panoramic views of the Rann of Kutch and beautiful sunset vistas.,4.5,gujarat,22.1797,73.408, Kutch the Rann of Kutch
Sardar Vallabhbhai Patel National Memorial,ahemdabad,Museum,"Memorial dedicated to Sardar Vallabhbhai Patel, showcasing his life, achievements, and contributions.",4.6,gujarat,23.2,72.6369, Sardar Vallabhbhai Patel
Mumbai,Mumbai,City,"Financial capital of India, known for its bustling city life, Bollywood, and iconic landmarks.",4.5,maharastra,19.076,72.8777, India Bollywood
Ajanta and Ellora Caves,Aurangabad,Historical Site,"UNESCO World Heritage Sites featuring ancient Buddhist, Hindu, and Jain cave temples.",4.7,maharastra,20.5526,75.7035, UNESCO World Heritage Sites Buddhist Hindu Jain
Mahabaleshwar,Satara District,Hill Station,"Picturesque hill station known for its scenic beauty, strawberry farms, and pleasant weather.",4.6,maharastra,17.9231,73.6586, Picturesque hill strawberry
Lonavala,Pune District,Hill Station,"Popular hill station known for its lush greenery, waterfalls, and the famous Karla and Bhaja Caves.",4.5,maharastra,18.7549,73.4062, greenery Karla Bhaja Caves
Alibaug,Raigad District,Beach Destination,"Coastal town known for its beautiful beaches, historic forts, and water sports activities.",4.3,maharastra,18.648,72.8767, Coastal
Nashik,Nashik District,City,"Religious city famous for the Kumbh Mela, ancient temples, and vineyards producing world-class wines.",4.2,maharastra,19.9975,73.7898, vineyards
Aurangabad,Aurangabad,City,"Historical city known for its Mughal-era monuments, including the Bibi Ka Maqbara and Aurangabad Caves.",4.1,maharastra,19.8762,75.3433, Bibi Ka Maqbara
Khandala,Pune District,Hill Station,"Scenic hill station famous for its panoramic views, misty mountains, and hiking trails.",4.3,maharastra,18.7539,73.4012, Scenic hill
Kolhapur,Kolhapur District,City,"Historical city known for its temples, palaces, and the traditional Kolhapuri footwear.",4.2,maharastra,16.705,74.2433, Kolhapuri
Shirdi,Ahmednagar District,Pilgrimage Site,"Famous pilgrimage site associated with the saint Sai Baba, attracting devotees from around the world.",4.4,maharastra,19.7665,74.4773, Sai Baba
Lavasa,Pune District,Hill Station,"Planned hill city known for its picturesque landscapes, lakes, and water sports activities.",4.1,maharastra,18.4077,73.5075, Planned hill
Ratnagiri,Ratnagiri District,Beach Destination,"Coastal town known for its pristine beaches, historic forts, and Alphonso mangoes.",4.3,maharastra,16.9944,73.3002, Coastal Alphonso
Malshej Ghat,Pune District,Hill Station,"Hill station offering breathtaking views, misty waterfalls, and diverse flora and fauna.",4.4,maharastra,19.3983,73.7893, Hill
Bhimashankar Temple,Pune District,Hindu Temple,"Sacred temple dedicated to Lord Shiva, known for its beautiful architecture and natural surroundings.",4.5,maharastra,19.0704,73.5352, Shiva
