Place Name,Location,Category,Description,Rating,State,latitude,longitude
Rann of Kutch,Kutch District,Natural Landmark,Vast salt marshes that transform into a white desert during the dry season.,4.8,gujarat,23.6896,70.532
Somnath Temple,"Veraval, gir somanth district",Religious landmark,"Ancient Hindu temple dedicated to Lord Shiva, known for its spiritual significance and architecture.",4.7,gujarat,20.9065,70.3849
Gir National Park,Junagadh District,Wildlife Sanctuary,Home to the Asiatic lions and various other wildlife species.,4.6,gujarat,21.1321,70.8035
Sabarmati Ashram,Ahmedabad,Historical Site,"Former residence of Mahatma Gandhi, showcasing his life and principles of non-violence.",4.5,gujarat,23.0379,72.5634
Dwarkadhish Temple,"Dwarka,dev bhoomidwarka district",Religious landmark,"Sacred Hindu temple dedicated to Lord Krishna, attracting pilgrims from all over the world.",4.5,gujarat,22.2394,68.9686
Statue of Unity,"Kevadia, narmada district",monument,"World's tallest statue, honoring Vallabhbhai Patel, the first Deputy Prime Minister of India.",4.9,gujarat,21.8389,73.7172
Bhuj,Kutch District,City,"Vibrant city with historical sites, palaces, markets, and a gateway to the Great Rann of Kutch.",4.4,gujarat,23.2531,69.6693
Champaner-Pavagadh Archaeological Park,Panchmahal District,Archaeological Park,UNESCO World Heritage Site featuring ancient ruins and a hill with a sacred shrine.,4.6,gujarat,22.4751,73.5311
Ahmedabad,Ahmedabad,City,"Cultural hub with historic architecture, bustling markets, museums, and vibrant festivals.",4.4,gujarat,23.0225,72.5714
Junagadh,Junagadh District,City,"Ancient city known for its historical monuments, including the Uparkot Fort and Girnar Hill.",4.3,gujarat,21.5222,70.4579
Saputara,Dang District,Hill Station,"Picturesque hill station offering scenic beauty, lakes, gardens, and trekking opportunities.",4.5,gujarat,20.5737,73.7762
Dholavira,Kutch District,Archaeological Site,Ancient Harappan archaeological site showcasing the remains of an ancient Indus Valley Civilization.,4.7,gujarat,23.8898,70.2016
Patan,Patan District,Historical Site,"Former capital of Gujarat with ancient stepwells, temples, and intricately carved wooden houses.",4.4,gujarat,23.8493,72.1267
Surat,Surat,City,"Major commercial city known for its textile industry, diamond trade, and historical landmarks.",4.3,gujarat,21.1702,72.8311
Palitana,Bhavnagar District,Religious Site,"Sacred hill of Jain temples, visited by thousands of pilgrims, offering panoramic views from the top.",4.6,gujarat,21.5159,71.8324
Diu,Diu Island,Beach Destination,"Serene island known for its sandy beaches, historical forts, and Portuguese architecture.",4.5,gujarat,20.7144,70.9874
Nal Sarovar Bird Sanctuary,Ahmedabad District,Wildlife Sanctuary,"Wetland bird sanctuary attracting migratory birds, ideal for birdwatching and boating.",4.5,gujarat,22.5649,72.4315
Bhavnagar,Bhavnagar District,City,"Coastal city known for its maritime history, colorful markets, and cultural heritage.",4.2,gujarat,21.7645,72.1519
Gandhinagar,Gandhinagar,City,"Planned city serving as the capital of Gujarat, featuring modern infrastructure and peaceful ambiance.",4.2,gujarat,23.2156,72.6369
Porbandar,Porbandar District,City,"Birthplace of Mahatma Gandhi, known for its historical significance and coastal charm.",4.3,gujarat,21.6417,69.6293
Lothal,Ahmedabad District,Archaeological Site,Ancient Indus Valley Civilization site showcasing well-preserved ruins and artifacts.,4.6,gujarat,22.4635,72.3653
Jamnagar,Jamnagar District,City,"Coastal city known for its grand palaces, temples, and the famous Marine National Park.",4.2,gujarat,22.4707,70.0577
Sun Temple," Modhera, mehsana district",temple,"Exquisite temple dedicated to the Sun God, known for its intricate carvings and architectural brilliance.",4.7,gujarat,23.0216,72.5528
Kankaria Lake,Ahmedabad,Lake,"Artificial lake offering boating, amusement rides, gardens, and a zoo in its surrounding area.",4.4,gujarat,23.0062,72.5933
Mandvi Beach,Kutch District,Beach Destination,"Scenic beach with pristine sand, water sports activities, and a historic shipbuilding yard nearby.",4.5,gujarat,22.8276,69.3584
Patola Silk Weaving,Patan District,Art and Craft,"Traditional silk weaving technique producing intricate Patola sarees, showcasing Gujarati craftsmanship.",4.6,gujarat,23.0313,72.5622
Vadodara,Vadodara,City,"Cultural city known for its palaces, museums, parks, and the grand Laxmi Vilas Palace.",4.4,gujarat,22.3072,73.1812
Kutch Museum,"Bhuj, kutch district",museum,"Museum showcasing the art, culture, history, and artifacts of the Kutch region.",4.3,gujarat,23.0309,70.2224
Dandi Beach,Navsari District,Beach Destination,Historical beach known for the Salt March led by Mahatma Gandhi during India's freedom struggle.,4.5,gujarat,21.3937,72.8061
Chamunda Mata Temple,Surendranagar District,Hindu Temple,"Sacred temple dedicated to Goddess Chamunda, known for its religious significance and architecture.",4.2,gujarat,23.0575,72.6436
Rani ki Vav,Patan District,Architectural Site,"Stepwell adorned with intricate carvings, recognized as a UNESCO World Heritage Site.",4.8,gujarat,23.8397,72.3645
Akshardham Temple, Gandhinagar,Hindu Temple,"Exquisite temple showcasing breathtaking architecture, intricate carvings, and spiritual ambiance.",4.9,gujarat,23.2357,72.6836
Adalaj Stepwell,Gandhinagar District,Architectural Site,Magnificent stepwell known for its intricate architecture and the stories of its construction.,4.6,gujarat,23.1694,72.6084
